Symbol,Name,Exchange
HCLTECH.NS,HCL TECHNOLOGIES LTD,NSE
ADANIENT.NS,ADANI ENTERPRISES LIMITED,NSE
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,NSE
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,NSE
GRASIM.NS,GRASIM INDUSTRIES LTD,NSE
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,NSE
WIPRO.NS,WIPRO LTD,NSE
ASIANPAINT.NS,ASIAN PAINTS LIMITED,NSE
COALINDIA.NS,COAL INDIA LTD,NSE
ADANIPORTS.NS,ADANI PORT & SEZ LTD,NSE
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,NSE
APOLLOHOSP.NS,APOLLO HOSPITALS ENTER. L,NSE
ICICIBANK.NS,ICICI BANK LTD.,NSE
RELIANCE.NS,RELIANCE INDUSTRIES LTD,NSE
TATAMOTORS.NS,TATA MOTORS LIMITED,NSE
CIPLA.NS,CIPLA LTD,NSE
JSWSTEEL.NS,JSW STEEL LIMITED,NSE
ITC.NS,ITC LTD,NSE
HINDALCO.NS,HINDALCO  INDUSTRIES  LTD,NSE
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,NSE
BAJAJFINSV.NS,BAJAJ FINSERV LTD.,NSE
SBIN.NS,STATE BANK OF INDIA,NSE
DRREDDY.NS,DR. REDDY S LABORATORIES,NSE
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,NSE
TCS.NS,TATA CONSULTANCY SERV LT,NSE
TECHM.NS,TECH MAHINDRA LIMITED,NSE
HDFCBANK.NS,HDFC BANK LTD,NSE
JIOFIN.NS,JIO FIN SERVICES LTD,NSE
NTPC.NS,NTPC LTD,NSE
TRENT.NS,TRENT LTD,NSE
BEL.NS,BHARAT ELECTRONICS LTD,NSE
M&M.NS,MAHINDRA & MAHINDRA LTD,NSE
TATASTEEL.NS,TATA STEEL LIMITED,NSE
INFY.NS,INFOSYS LIMITED,NSE
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,NSE
ONGC.NS,OIL AND NATURAL GAS CORP.,NSE
AXISBANK.NS,AXIS BANK LIMITED,NSE
SBILIFE.NS,SBI LIFE INSURANCE CO LTD,NSE
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,NSE
INDUSINDBK.NS,INDUSIND BANK LIMITED,NSE
ZOMATO.NS,ZOMATO LIMITED,NSE
EICHERMOT.NS,EICHER MOTORS LTD,NSE
NESTLEIND.NS,NESTLE INDIA LIMITED,NSE
TATACONSUM.NS,TATA CONSUMER PRODUCT LTD,NSE
TITAN.NS,TITAN COMPANY LIMITED,NSE
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,NSE
SHRIRAMFIN.NS,SHRIRAM FINANCE LIMITED,NSE
HDFCLIFE.NS,HDFC LIFE INS CO LTD,NSE
LT.NS,LARSEN & TOUBRO LTD.,NSE
POWERGRID.NS,POWER GRID CORP. LTD.,NSE
